Date,Cost
2026-01-01,423.55
2026-01-02,355.84
2026-01-03,705.27
2026-01-04,298.84
2026-01-05,280.61
2026-01-06,549.9399999999999
2026-01-07,317.99
2026-01-08,318.52
2026-01-09,462.62
2026-01-10,337.87
2026-01-11,194.91
2026-01-12,308.23
2026-01-13,191.97
2026-01-14,350.52
2026-01-15,161.51
2026-01-16,263.62
2026-01-17,280.38
2026-01-18,285.62
2026-01-19,210.14000000000001
2026-01-20,249.32
2026-01-21,390.26
2026-01-22,456.58
2026-01-23,134.29
2026-01-24,333.23999999999995
2026-01-25,143.31
2026-01-26,522.78
2026-01-27,287.26
2026-01-28,152.62
2026-01-29,583.11
2026-01-30,322.99
2026-01-31,317.96000000000004
2026-02-01,314.24
2026-02-02,183.5
2026-02-03,391.78
2026-02-04,326.52
2026-02-05,342.04
2026-02-06,415.39
2026-02-07,403.43
2026-02-08,258.86
2026-02-09,635.04
2026-02-10,256.09000000000003
2026-02-11,131.12
2026-02-12,521.37
2026-02-13,268.07
2026-02-14,486.10999999999996
2026-02-15,512.28
2026-02-16,459.87
2026-02-17,443.57
2026-02-18,356.43
2026-02-19,436.7
2026-02-20,371.68
2026-02-21,161.03
2026-02-22,468.15
2026-02-23,164.8
2026-02-24,242.06
2026-02-25,403.29
2026-02-26,511.69
2026-02-27,210.79
2026-02-28,241.55
2026-03-01,432.93
2026-03-02,501.14
2026-03-03,486.77
2026-03-04,461.16
2026-03-05,399.40000000000003
2026-03-06,423.78999999999996
2026-03-07,253.48
2026-03-08,171.94
2026-03-09,260.9
2026-03-10,457.65999999999997
2026-03-11,212.82
2026-03-12,551.35
2026-03-13,240.67000000000002
2026-03-14,271.15999999999997
2026-03-15,334.96
2026-03-16,399.53000000000003
2026-03-17,280.38
2026-03-18,370.13
2026-03-19,364.59
2026-03-20,471.11
2026-03-21,168.97
2026-03-22,446.2
2026-03-23,365.58
2026-03-24,278.75
2026-03-25,185.37
2026-03-26,248.64000000000001
2026-03-27,227.35
2026-03-28,446.65999999999997
2026-03-29,326.98
2026-03-30,185.64
2026-03-31,282.75
2026-04-01,354.1
