Date,ResourceID,Service,Department,Environment,UsageAmount,Cost,Currency,Is_Waste,Unit_Cost
2026-03-02,res-3824,CloudFront (CDN),Data Science,Dev,17.385053287897723,28.42,USD,False,1.6347375834495743
2026-03-01,res-5493,S3 (Storage),Sales,Prod,52.04131025776667,49.67,USD,False,0.9544340785037638
2026-01-12,res-8655,S3 (Storage),Data Science,Staging,20.196511330234205,47.54,USD,False,2.3538718753289114
2026-01-06,res-8401,CloudFront (CDN),Engineering,Dev,14.904346088221844,48.56,USD,False,3.2581100648470938
2026-02-26,res-6132,RDS (Database),Data Science,Staging,24.63998102906569,45.79,USD,False,1.85836182040828
2026-01-04,res-4610,Lambda (Serverless),Engineering,Dev,56.56293632356764,16.83,USD,False,0.2975446660640843
2026-04-01,res-5181,EC2 (Compute),Sales,Prod,28.15340774074831,20.02,USD,False,0.7111039695213774
2026-03-22,res-2615,RDS (Database),Data Science,Staging,45.86774112997972,42.96,USD,False,0.9366059662336592
2026-01-01,res-5632,S3 (Storage),Data Science,Prod,49.701145693934535,37.99,USD,False,0.7643686975335914
2026-01-01,res-3669,Lambda (Serverless),Sales,Dev,79.25126718031686,49.7,USD,False,0.6271193101167685
2026-01-08,res-9792,RDS (Database),Sales,Dev,67.47886066781956,15.37,USD,False,0.2277750372173948
2026-02-06,res-9128,CloudFront (CDN),Engineering,Prod,69.37285101631026,5.23,USD,False,0.0753897226851808
2026-02-27,res-3105,RDS (Database),Engineering,Prod,44.53772658702199,5.66,USD,False,0.1270832715033391
2026-02-26,res-1729,CloudFront (CDN),Sales,Prod,0.0,115.82,USD,True,0.0
2026-03-20,res-9270,EC2 (Compute),Data Science,Prod,31.6432324544874,29.35,USD,False,0.9275285020964352
2026-03-04,res-9613,CloudFront (CDN),Unallocated,Prod,0.0,106.93,USD,True,0.0
2026-01-14,res-9296,RDS (Database),Marketing,Staging,57.71472902960208,27.28,USD,False,0.4726696366538946
2026-02-16,res-5149,CloudFront (CDN),Data Science,Staging,90.38560865498144,49.16,USD,False,0.5438918953088295
2026-01-17,res-9533,S3 (Storage),Unallocated,Prod,5.497424492124084,27.08,USD,False,4.925943055479218
2026-02-18,res-9163,Lambda (Serverless),Unallocated,Prod,2.5474927157705487,42.04,USD,False,16.50250057232608
2026-03-18,res-8458,EC2 (Compute),Data Science,Staging,51.573746141476086,3.01,USD,False,0.058363028191573
2026-01-10,res-3826,S3 (Storage),Sales,Prod,5.411427038879165,31.95,USD,False,5.904172738623415
2026-03-08,res-5471,S3 (Storage),Engineering,Prod,98.48178814170996,4.87,USD,False,0.0494507674149085
2026-03-13,res-5469,Lambda (Serverless),Marketing,Staging,19.71834068011486,1.83,USD,False,0.0928069977939614
2026-02-19,res-2565,CloudFront (CDN),Sales,Staging,80.77391074847503,33.72,USD,False,0.4174615254794583
2026-02-01,res-3368,Lambda (Serverless),Engineering,Prod,6.707881356784783,42.22,USD,False,6.294088662927226
2026-01-26,res-5027,RDS (Database),Sales,Dev,32.260610693697025,26.27,USD,False,0.8143057256238657
2026-03-21,res-8038,S3 (Storage),Unallocated,Prod,87.15412451403138,20.56,USD,False,0.2359039243941913
2026-02-25,res-9288,S3 (Storage),Unallocated,Prod,46.5219169499764,29.85,USD,False,0.6416330615115623
2026-01-08,res-9922,CloudFront (CDN),Marketing,Staging,1.5776149212286616,30.4,USD,False,19.269594620925737
2026-01-06,res-5420,EC2 (Compute),Sales,Staging,97.0489199091739,29.23,USD,False,0.3011883081991614
2026-03-26,res-9616,RDS (Database),Unallocated,Staging,60.663273378498594,0.28,USD,False,0.0046156427836161
2026-01-17,res-9852,RDS (Database),Unallocated,Staging,94.85802559273438,27.02,USD,False,0.2848467468214897
2026-02-20,res-1847,EC2 (Compute),Data Science,Prod,33.969447357124714,31.49,USD,False,0.9270094879360856
2026-01-07,res-4763,EC2 (Compute),Sales,Prod,52.68211593394656,20.4,USD,False,0.3872281824362892
2026-03-31,res-5552,RDS (Database),Sales,Dev,60.96546235800007,45.34,USD,False,0.7436997645282412
2026-03-12,res-8716,CloudFront (CDN),Engineering,Staging,50.78015414353765,3.52,USD,False,0.0693184189644284
2026-03-11,res-4182,Lambda (Serverless),Sales,Staging,97.73130416052028,35.66,USD,False,0.364877971355316
2026-02-09,res-9851,CloudFront (CDN),Sales,Dev,0.0,192.85,USD,True,0.0
2026-01-31,res-6654,S3 (Storage),Sales,Staging,59.63128096832792,33.69,USD,False,0.5649719317264681
2026-01-09,res-9872,Lambda (Serverless),Engineering,Dev,10.864145006647078,15.26,USD,False,1.40462042716324
2026-02-25,res-6435,CloudFront (CDN),Marketing,Staging,6.424284811326265,41.05,USD,False,6.3898163306252
2026-01-21,res-4968,Lambda (Serverless),Data Science,Prod,62.39348952704014,25.76,USD,False,0.4128635887376697
2026-01-25,res-1611,CloudFront (CDN),Unallocated,Dev,70.74580578736764,30.42,USD,False,0.429990155054984
2026-02-17,res-8195,Lambda (Serverless),Sales,Dev,17.434792877741703,38.24,USD,False,2.1933154163717923
2026-01-30,res-9616,S3 (Storage),Unallocated,Staging,36.589385675222886,47.5,USD,False,1.298190694471414
2026-01-10,res-7668,EC2 (Compute),Sales,Dev,44.45167807987474,6.16,USD,False,0.1385774455787959
2026-02-15,res-2986,RDS (Database),Engineering,Prod,96.14033574332812,26.76,USD,False,0.278343109508613
2026-01-29,res-1585,CloudFront (CDN),Engineering,Prod,81.62013778752907,46.5,USD,False,0.569712343797401
2026-01-07,res-4155,Lambda (Serverless),Engineering,Staging,69.68503498708222,31.95,USD,False,0.4584915542615813
2026-03-17,res-3200,EC2 (Compute),Sales,Prod,0.0,115.79,USD,True,0.0
2026-03-28,res-8324,CloudFront (CDN),Sales,Staging,97.44406404118634,39.99,USD,False,0.4103892873669305
2026-01-09,res-1538,S3 (Storage),Unallocated,Prod,40.39809351964534,39.49,USD,False,0.9775213768638924
2026-03-03,res-2958,S3 (Storage),Data Science,Staging,55.98553609821118,29.36,USD,False,0.524421163860894
2026-01-10,res-2711,CloudFront (CDN),Data Science,Dev,18.99132392165831,16.87,USD,False,0.8883003665037231
2026-03-24,res-2459,Lambda (Serverless),Sales,Dev,44.592708460289536,23.58,USD,False,0.5287860014378435
2026-03-13,res-5364,CloudFront (CDN),Engineering,Staging,32.35344708290464,28.93,USD,False,0.8941860175167065
2026-02-07,res-8240,CloudFront (CDN),Sales,Dev,21.133919633634548,19.94,USD,False,0.943506947393969
2026-02-03,res-1940,S3 (Storage),Data Science,Staging,82.18795013963617,25.82,USD,False,0.3141579751792347
2026-02-08,res-7499,RDS (Database),Sales,Staging,75.67960248299164,49.05,USD,False,0.6481270830013091
2026-03-17,res-5588,RDS (Database),Engineering,Dev,12.825112093936248,8.38,USD,False,0.6534055951029145
2026-03-16,res-8527,CloudFront (CDN),Marketing,Prod,76.281351952663,21.81,USD,False,0.2859152262211394
2026-02-15,res-8428,EC2 (Compute),Unallocated,Prod,92.49208823081436,36.13,USD,False,0.3906280060391484
2026-01-07,res-5949,RDS (Database),Unallocated,Staging,50.06492870241349,47.93,USD,False,0.9573568013028936
2026-01-28,res-4600,S3 (Storage),Engineering,Staging,22.26844382046144,37.16,USD,False,1.6687290903487113
2026-02-17,res-2209,RDS (Database),Sales,Staging,95.43943444035784,35.21,USD,False,0.3689250696681725
2026-02-10,res-2369,RDS (Database),Engineering,Staging,26.853609813490586,24.0,USD,False,0.8937345916131915
2026-03-16,res-8654,EC2 (Compute),Unallocated,Prod,46.94419037919442,3.94,USD,False,0.0839294483124412
2026-03-22,res-9826,RDS (Database),Sales,Staging,7.128287506548903,18.71,USD,False,2.624753839237088
2026-03-26,res-8919,EC2 (Compute),Marketing,Dev,52.78215368316513,11.3,USD,False,0.2140875127572548
2026-03-05,res-2766,EC2 (Compute),Data Science,Prod,68.74924115420595,32.6,USD,False,0.4741870521432744
2026-03-03,res-2137,CloudFront (CDN),Engineering,Staging,35.12042268982223,16.33,USD,False,0.4649716247501877
2026-02-16,res-1861,CloudFront (CDN),Engineering,Dev,57.06688308991492,46.61,USD,False,0.8167609211556378
2026-01-02,res-9254,CloudFront (CDN),Data Science,Staging,53.31189443037645,3.64,USD,False,0.0682774461289069
2026-02-10,res-4737,RDS (Database),Marketing,Prod,22.40069917260579,7.42,USD,False,0.3312396609956732
2026-02-03,res-3810,RDS (Database),Engineering,Prod,42.48840068268821,14.08,USD,False,0.3313845608158384
2026-02-22,res-1863,S3 (Storage),Sales,Dev,56.96806653290536,32.8,USD,False,0.575761158772246
2026-03-24,res-4269,S3 (Storage),Marketing,Staging,52.46519979405168,44.1,USD,False,0.840557172623212
2026-02-27,res-5941,EC2 (Compute),Engineering,Staging,37.00557842768431,46.82,USD,False,1.26521465112334
2026-01-29,res-6956,S3 (Storage),Engineering,Dev,1.384240585678446,0.86,USD,False,0.6212792840331982
2026-03-02,res-6768,S3 (Storage),Marketing,Prod,23.615389596309683,41.83,USD,False,1.771302557995345
2026-01-16,res-9140,S3 (Storage),Engineering,Staging,83.36375308422977,40.89,USD,False,0.4905009489998035
2026-02-08,res-2632,S3 (Storage),Marketing,Dev,68.21889017075495,32.69,USD,False,0.479192785431945
2026-01-22,res-1782,EC2 (Compute),Sales,Staging,28.924614528560408,0.15,USD,False,0.0051858945208029
2026-01-27,res-6420,RDS (Database),Unallocated,Dev,43.72192431654565,39.94,USD,False,0.9135005063097266
2026-03-06,res-8867,EC2 (Compute),Engineering,Dev,81.42633909769113,43.2,USD,False,0.5305408603495101
2026-02-13,res-7822,EC2 (Compute),Engineering,Dev,25.08447360196212,44.96,USD,False,1.792343770629622
2026-03-03,res-7282,Lambda (Serverless),Marketing,Dev,57.49957139703107,41.0,USD,False,0.7130487933013878
2026-01-28,res-2967,Lambda (Serverless),Sales,Dev,63.85532301375342,30.35,USD,False,0.4752931872799875
2026-02-11,res-7950,Lambda (Serverless),Unallocated,Staging,13.476909916746436,10.44,USD,False,0.7746582906981692
2026-01-12,res-9399,RDS (Database),Sales,Prod,40.19078840940428,35.88,USD,False,0.8927418799180463
2026-03-17,res-7540,S3 (Storage),Sales,Dev,23.29560666115345,6.47,USD,False,0.2777347718009438
2026-02-20,res-5256,CloudFront (CDN),Marketing,Staging,88.12112010979735,15.52,USD,False,0.1761212292883063
2026-03-10,res-2654,Lambda (Serverless),Marketing,Staging,38.40782900189057,41.17,USD,False,1.0719168739783098
2026-01-02,res-5615,S3 (Storage),Sales,Prod,0.0,136.75,USD,True,0.0
2026-01-09,res-1078,EC2 (Compute),Unallocated,Dev,74.64685047568996,31.68,USD,False,0.4243983476612605
2026-01-15,res-1442,CloudFront (CDN),Unallocated,Prod,19.77711053919029,27.46,USD,False,1.3884738089310524
2026-02-04,res-8109,CloudFront (CDN),Sales,Prod,45.90496651492708,26.37,USD,False,0.5744476469975242
2026-02-19,res-3743,Lambda (Serverless),Marketing,Staging,42.16726499509967,45.32,USD,False,1.0747673581691086
2026-01-09,res-4367,EC2 (Compute),Sales,Prod,85.63264105872949,20.92,USD,False,0.244299366939441
2026-03-30,res-2317,EC2 (Compute),Sales,Dev,61.65487372862815,24.29,USD,False,0.3939672329378472
2026-03-30,res-6909,Lambda (Serverless),Data Science,Prod,68.08487388786106,18.06,USD,False,0.2652571557927191
2026-01-18,res-5365,S3 (Storage),Marketing,Prod,17.206371536107994,35.23,USD,False,2.0474973428342502
2026-03-22,res-9006,CloudFront (CDN),Sales,Staging,82.71457312692007,18.68,USD,False,0.225836866392779
2026-01-16,res-8003,RDS (Database),Engineering,Prod,93.4792078542432,29.69,USD,False,0.3176107359220879
2026-03-23,res-1060,Lambda (Serverless),Data Science,Prod,19.883900762623927,43.74,USD,False,2.199769578523483
2026-02-17,res-9736,RDS (Database),Marketing,Staging,7.8366775930179635,11.54,USD,False,1.4725628128789534
2026-02-03,res-5470,EC2 (Compute),Unallocated,Prod,87.50453827048662,12.02,USD,False,0.1373643040415206
2026-02-20,res-9908,S3 (Storage),Sales,Dev,54.395549824126775,36.22,USD,False,0.6658632942788063
2026-02-16,res-7842,Lambda (Serverless),Data Science,Staging,0.0,147.22,USD,True,0.0
2026-03-30,res-5090,CloudFront (CDN),Marketing,Prod,99.66299073645962,12.51,USD,False,0.1255230242194957
2026-02-06,res-6390,RDS (Database),Unallocated,Staging,23.381074209187435,10.12,USD,False,0.4328287019431902
2026-03-26,res-5306,Lambda (Serverless),Data Science,Prod,53.47324657135558,40.31,USD,False,0.753834909690955
